date,ticker,name,action,shares,price,total,fee,profit,ma5,ma20,rsi,reason
2023-09-22,TSLA,Tesla,BUY,81.6726543662518,244.8800048828125,20000.0,99.0,,258.04,257.9,49.9,ゴールデンクロス RSI=49.9
2023-09-29,7974.T,任天堂,BUY,2.697774488209279,5923.47509765625,15980.199999999999,55.0,,5907.01,5906.97,47.0,ゴールデンクロス RSI=47.0
2023-10-05,7974.T,任天堂,SELL,2.697774488209279,5913.96826171875,15954.55270054422,55.0,-80.65,5897.93,5898.47,47.2,デッドクロス
2023-10-19,TSLA,Tesla,SELL,81.6726543662518,220.11000061035156,17976.968002404716,88.99,-2112.02,251.04,250.84,30.8,損切り -10.1%
2023-10-23,6758.T,ソニー,BUY,7.979630168563479,2447.5654296875,19530.66694226741,55.0,,2455.93,2454.57,54.9,ゴールデンクロス RSI=54.9
2023-10-26,7974.T,任天堂,BUY,2.6850054590319448,5815.08447265625,15613.53355381393,55.0,,5870.28,5869.78,41.6,ゴールデンクロス RSI=41.6
2023-12-11,TSLA,Tesla,BUY,52.05567096479854,239.74000549316406,12479.826843051142,61.78,,238.2,237.19,54.3,ゴールデンクロス RSI=54.3
2023-12-29,7974.T,任天堂,SELL,2.6850054590319448,6996.92724609375,18786.78785221107,55.0,3118.25,6594.03,6324.52,77.1,利確 +20.3%
2024-01-12,TSLA,Tesla,SELL,52.05567096479854,218.88999938964844,11394.465785712491,56.4,-1141.76,245.27,233.42,20.0,損切り -8.7%
2024-03-05,6758.T,ソニー,SELL,7.979630168563479,2547.90771484375,20331.361268082823,55.0,745.69,2680.47,2690.06,16.0,デッドクロス
2024-05-20,TSLA,Tesla,BUY,114.55129611616192,174.9499969482422,20040.748905939716,99.2,,174.61,174.08,40.3,ゴールデンクロス RSI=40.3
2024-07-02,TSLA,Tesla,SELL,114.55129611616192,231.25999450683594,26491.132110574545,131.13,6319.25,186.35,176.76,86.9,利確 +32.2%
2024-10-24,7203.T,トヨタ,BUY,8.57974560055637,2480.814697265625,21284.75898466033,55.0,,2466.35,2465.17,50.1,ゴールデンクロス RSI=50.1
2024-12-26,7203.T,トヨタ,SELL,8.57974560055637,2995.089599609375,25697.106815520674,55.0,4357.35,2597.35,2539.05,91.8,利確 +20.7%
2025-05-19,7203.T,トヨタ,BUY,8.56315026703865,2586.107666015625,22145.2285508324,55.0,,2589.14,2580.56,50.5,ゴールデンクロス RSI=50.5
2025-05-20,6758.T,ソニー,BUY,4.719905891111114,3751.1728515625,17705.18284066592,55.0,,3567.74,3560.33,59.2,ゴールデンクロス RSI=59.2
2025-06-26,7203.T,トヨタ,SELL,8.56315026703865,2383.77978515625,20412.664503822078,55.0,-1787.56,2517.06,2524.48,16.6,デッドクロス
2025-07-14,6758.T,ソニー,SELL,4.719905891111114,3564.458251953125,16823.907502013175,55.0,-936.28,3637.41,3648.61,50.5,デッドクロス
2025-11-14,7974.T,任天堂,BUY,1.636374320865868,13186.7509765625,21578.460673699785,55.0,,13008.98,12952.27,59.1,ゴールデンクロス RSI=59.1
2025-12-08,7974.T,任天堂,SELL,1.636374320865868,12083.359375,19772.898991043847,55.0,-1860.56,12914.58,12843.07,28.1,損切り -8.4%
2026-01-26,NVDA,Nvidia,BUY,113.67241221177346,186.4599151611328,21195.348337168598,104.92,,186.17,186.09,47.6,ゴールデンクロス RSI=47.6
2026-02-26,AAPL,Apple,BUY,62.10257506718242,272.6987609863281,16935.29527488108,83.83,,268.06,267.59,47.6,ゴールデンクロス RSI=47.6
2026-03-10,AAPL,Apple,SELL,62.10257506718242,260.58990478515625,16183.304123670086,80.11,-832.1,264.72,265.07,45.4,デッドクロス
2026-03-13,NVDA,Nvidia,SELL,113.67241221177346,180.25,20489.452301172165,101.42,-807.32,184.95,185.07,39.3,デッドクロス
2026-04-07,7974.T,任天堂,BUY,2.355236944107936,8844.0,20829.715533690585,55.0,,9200.7,9182.53,30.4,ゴールデンクロス RSI=30.4
2026-04-09,7974.T,任天堂,SELL,2.355236944107936,8531.0,20092.5263701848,55.0,-792.19,9128.29,9137.26,26.5,デッドクロス
